"RT @Ethirajans: Rahul Gandhi says river linking will be disastrous! Stalin says we will implement it.

Rahul Gandhi is not for giving Educa…",JPrabaker,"Salem, India",[]
RT @MaharashtraPMC: Remember that BJP govt even tried to destroy institutions such as the Central Bureau of Investigation and the Central V…,salmans67683028,"मुंबई, भारत",[]
"RT @INCIndia: The BJP has zilch understanding of the law, considering they have disregard for the constitution. Let’s make it clear, the SC…",romandsouza,"Mumbai- Pune, India",[]
"RT @SuryahSG: Frnds, inspired by @muglikar_'s 1 mint videos; I'm making 2 mints videos in Tamil narrating 50 achievements of PM @NarendraMo…",Akhilesh_peace,"Pune, India",[]
"RT @zainabsikander: Dear Mrs.Kher,
Can you please go on your 'sher' and do the 'vadh' of BJP workers caught in sex rackets &amp; espionage for…",khan_nasrat1,,[]
RT @Swamy39: BJP leaders must stop saying publicly that India’s GDP sixth largest in the world. If they do not I will call them illiterates…,rishitwt,,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",am_kaps,Gurgaon,[]
RT @divyaspandana: Hard luck @BJP4India @narendramodi https://t.co/cwBb4V17m1,Yashwan58836140,,[]
RT @INCIndia: The Election Commission has declared that Congress President @RahulGandhi's event at #StellaMaris college was not a violation…,tusharpati_,,['StellaMaris']
"RT @iShalavbjp: Brother of Late Goa CM and ex-Defense Minister Manohar Parrikar, Suresh Parrikar, runs a humble kirana store near Arpora in…",rohitsh020678,,[]
RT @Swamy39: BJP leaders must stop saying publicly that India’s GDP sixth largest in the world. If they do not I will call them illiterates…,ShishirOne,,[]
RT @VinayDokania: Lok Sabha Election 2019 LIVE: Three Tripura BJP leaders join Congress https://t.co/Kepzuak5HF,psiubu,Kayalpattnam ,[]
RT @India_Policy: BJP to contest 437 seats in the #LS2019. 20 parties join the NDA alliance.,HariyaneKaChora,,['LS2019']
RT @INCIndia: This young woman entrepreneur has a few words on the misbehaviour of the BJP Karyakartha’s. Listen in: https://t.co/kPuhVFGrWD,aniltak283,"Madhya Pradesh, India",[]
"They are too busy in fighting election for paying attention on Twitter fights. 

If they themselves are suspended f… https://t.co/O3WxO4eOWe",tanmayj41128048,,[]
RT @csharitha: This duffer lies are never ending. Reality is Modi govt has done alot in just 5 years than what has been done in past 6decad…,kpophale,"New Delhi, India",[]
"RT @republic: #ModiChantSpooksCong | In every Rahul Gandhi rally, people will chant 'Modi'. People of India love him, even Priyanka Gandhi…",lcbil,"Gandhidham, Gujarat",['ModiChantSpooksCong']
"RT @DrGPradhan: INPUT @AmitShah 

Darjeeling booth level data of BJP has been leaked to TMC

Money has changed hands

@BJP4Bengal",ramesh_jaiho,India,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",progress_inc_,India,[]
"RT @srikanthbjp_: Goldman Sachs upgrades India to ‘Overweight’ : Projections based on Big BJP Win -

In a Major boost to the Indian Economy…",indsamachar,India,[]
RT @VijayaRahatkar: Tonight attending meeting of Central Election Committee (CEC) at BJP HQ in New Delhi for Loksabha election. https://t.c…,VibhaAwasthi5,Raipur,[]
"RT @srikanthbjp_: Goldman Sachs upgrades India to ‘Overweight’ : Projections based on Big BJP Win -

In a Major boost to the Indian Economy…",indsamachar,India,[]
"RT @losmonrekha: BJP carried out the 1984 riots on Sikhs, BJP’s Rajiv Gandhi pussyfooted on Shah Bano case, BJP/RSS orchestrated the Patel,…",vaibhavg10,,[]
"RT @MrsGandhi: Big blow to Congress in Maharashtra. Radhakrishna Vikhe Patil, their Leader of Opposition in Maharashtra Assembly has resign…",SurinderBhat5,"Jammu, Jammu And Kashmir",[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",Rambhupalreddyt,"Hyderabad, India",[]
RT @VijayaRahatkar: Tonight attending meeting of Central Election Committee (CEC) at BJP HQ in New Delhi for Loksabha election. https://t.c…,Harvirs57497215,"Bharatpur, India",[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",samir17500,,[]
"RT @nalinkateel: Varanasi Loksabha seat against PM Modi AAP gives it to congress, Congress gives it to SP, SP gives it to BSP, BSP candidat…",Monu00940360,Visakhapastnam,[]
RT @MaharashtraPMC: Know that BJP is hell bent on controlling educational institutions by appointing RSS personnel in key administrative bo…,FansOfRG1,,[]
RT @India_Policy: BJP to contest 437 seats in the #LS2019. 20 parties join the NDA alliance.,vaibhavg10,,['LS2019']
"RT @waglenikhil: 15 BJP ministers, MLAs in Arunachal join NPP | India News - Times of India https://t.co/8jdIqsxbDm",Official_Z_Khan,Mumbai,[]
@rashtrapatibhvn I think this is the example for those who said bJP creat differences with muslims.thank u Presiden… https://t.co/BXVBGx6pzP,amittokas8,,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",iloststar,,[]
RT @ShahnawazBJP: Today is the second meeting of BJP Central Election Committee to decide candidates for Lok Sabha Elections. As a member o…,Akshayc2727,"Pune, India",[]
"RT @VazeIndian: To all BJP Supporters,

Tell me one promise which Modi did before elections 2014 and completed in last 5 years?

Any takers…",Thorguri,India,[]
RT @dipankarghose31: Move represents several risks. One that there are several multi term MPs that may now get disenchanted. Remember in al…,ISHAN_8772,India,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",alekskoruthu,"Bangalore,India",[]
"RT @Ghaafil: Where there is no AAP &amp; AIMIM there is CongRSS to damage other strong regional parties, CongRSS is bigger vote katwa
https://t…",Ghaafil,olx.in,[]
